                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.0206,                0.52595,                  1.053,                0.84651,                0.87196,                0.88273,                0.58737,                 1.0333,                0.51529,                 1.2088,               0.003862,               0.003862,               0.003862
                    126,                 1.0348,                 0.5345,                 1.0562,                0.84913,                0.85552,                0.86118,                0.58895,                 1.0384,                 0.5384,                 1.2261,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0268,                0.52397,                 1.0511,                0.83648,                0.87433,                0.87248,                0.58934,                  1.055,                0.51393,                 1.2332,               0.003763,               0.003763,               0.003763
                    128,                 1.0191,                0.53388,                 1.0723,                0.89019,                0.86712,                0.89695,                0.60689,                 1.0495,                0.50938,                 1.2272,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0262,                0.53503,                 1.0589,                0.90305,                0.88769,                0.90276,                0.60043,                 1.0264,                0.52766,                 1.2158,               0.003664,               0.003664,               0.003664
                    130,                 1.0161,                0.52329,                 1.0569,                0.87648,                0.86157,                0.88258,                0.59213,                 1.0742,                0.52425,                 1.2297,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0109,                0.51592,                 1.0499,                0.85768,                0.87646,                0.87802,                0.59285,                 1.0628,                0.51813,                  1.227,               0.003565,               0.003565,               0.003565
                    132,                0.99673,                 0.5044,                 1.0381,                 0.8864,                0.86394,                0.89297,                0.59409,                  1.055,                0.50784,                 1.2334,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0259,                0.53572,                 1.0664,                0.86824,                 0.8816,                0.86846,                0.59517,                 1.0447,                0.50858,                 1.2224,               0.003466,               0.003466,               0.003466
                    134,                 1.0282,                0.51985,                 1.0428,                0.84624,                0.85833,                0.86594,                0.58226,                 1.0185,                0.52518,                  1.207,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0173,                 0.5213,                 1.0416,                0.83769,                0.85599,                0.85626,                0.57941,                 1.0576,                0.52663,                 1.2311,               0.003367,               0.003367,               0.003367
                    136,                0.99795,                0.51666,                 1.0419,                 0.8782,                0.88216,                 0.8681,                0.58484,                 1.0429,                0.53342,                  1.228,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0112,                0.52154,                 1.0495,                0.86583,                0.85575,                 0.8662,                0.58532,                 1.0354,                0.51797,                 1.2197,               0.003268,               0.003268,               0.003268
                    138,                 1.0064,                0.51329,                 1.0426,                0.84001,                0.91319,                0.89905,                0.60549,                 1.0429,                0.51182,                  1.212,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0053,                0.51721,                 1.0479,                0.85043,                0.88131,                0.87302,                0.59108,                 1.0314,                0.50956,                 1.2051,               0.003169,               0.003169,               0.003169
                    140,                 1.0023,                0.51768,                  1.041,                0.87382,                0.89498,                0.89167,                0.60362,                 1.0371,                 0.5138,                  1.221,              0.0031195,              0.0031195,              0.0031195
                    141,                0.99348,                0.50951,                 1.0452,                0.88314,                0.86899,                0.86472,                0.59791,                 1.0402,                0.50734,                 1.2205,                0.00307,                0.00307,                0.00307
                    142,                0.99268,                0.50994,                 1.0404,                0.87287,                 0.8644,                0.87848,                0.59213,                 1.0514,                0.49898,                 1.2176,              0.0030205,              0.0030205,              0.0030205
