                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.0392,                0.54927,                 1.0679,                0.93882,                0.87211,                0.91486,                0.62754,                 1.0353,                0.50774,                 1.2068,               0.003268,               0.003268,               0.003268
                    138,                 1.0252,                0.53298,                 1.0552,                0.90637,                0.86304,                0.89792,                0.61432,                 1.0395,                0.50608,                 1.2138,              0.0032185,              0.0032185,              0.0032185
                    139,                   1.03,                0.53661,                 1.0601,                0.92459,                0.88204,                0.91293,                0.61983,                  1.031,                0.50083,                 1.2136,               0.003169,               0.003169,               0.003169
                    140,                 1.0232,                0.53825,                 1.0545,                0.91779,                0.91013,                0.93479,                0.62852,                 1.0091,                 0.5001,                  1.203,              0.0031195,              0.0031195,              0.0031195
                    141,                  1.018,                0.53133,                 1.0597,                0.89289,                0.88789,                0.90572,                0.62065,                 1.0241,                0.50861,                 1.2168,                0.00307,                0.00307,                0.00307
                    142,                 1.0213,                 0.5351,                 1.0594,                0.92193,                0.88247,                0.91528,                0.62285,                 1.0516,                0.50147,                 1.2317,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0029,                0.52931,                 1.0536,                0.91044,                0.89752,                0.91209,                 0.6225,                 1.0231,                0.49715,                 1.2066,               0.002971,               0.002971,               0.002971
                    144,                 1.0167,                0.53004,                 1.0626,                0.90022,                0.88216,                0.90489,                0.60691,                  1.044,                   0.51,                 1.2287,              0.0029215,              0.0029215,              0.0029215
                    145,                  1.001,                0.51701,                 1.0497,                0.90375,                0.89553,                0.90148,                0.62195,                 1.0431,                0.50658,                 1.2325,               0.002872,               0.002872,               0.002872
                    146,                 1.0094,                0.52735,                 1.0515,                0.90217,                 0.8845,                0.88739,                0.60861,                 1.0381,                0.51896,                 1.2275,              0.0028225,              0.0028225,              0.0028225
                    147,                0.99922,                0.52088,                  1.053,                0.95703,                0.90104,                0.93676,                0.63002,                 1.0243,                0.49531,                 1.2211,               0.002773,               0.002773,               0.002773
                    148,                 1.0224,                0.53626,                 1.0615,                0.91308,                0.88156,                 0.9111,                0.61743,                 1.0404,                0.51018,                 1.2189,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0055,                0.53085,                 1.0559,                0.86577,                0.89623,                0.89378,                0.62967,                 1.0172,                0.49799,                 1.2112,               0.002674,               0.002674,               0.002674
                    150,                 1.0114,                0.52218,                 1.0478,                0.94309,                0.89529,                0.92475,                0.62238,                 1.0209,                0.50414,                 1.2194,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0143,                0.52964,                 1.0502,                 0.9179,                0.89685,                0.91631,                0.62856,                 1.0334,                0.49399,                 1.2281,               0.002575,               0.002575,               0.002575
                    152,                0.99423,                0.51678,                 1.0427,                 0.9299,                0.92144,                0.93885,                0.62528,                 1.0401,                0.49244,                 1.2327,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0195,                0.53192,                 1.0582,                0.93102,                0.85677,                0.90872,                0.61297,                 1.0298,                0.49756,                 1.2132,               0.002476,               0.002476,               0.002476
